image_id,fold,xmin,ymin,xmax,ymax,isbox,source,label
1_1,1,1539.0,0.0,1624.0,48.0,True,1,1
1_2,1,1499.0,0.0,1629.0,76.0,True,1,1
1_3,1,1451.0,0.0,1654.0,93.0,True,1,1
1_4,1,1407.0,0.0,1637.0,49.0,True,2,2
1_4,1,1435.0,0.0,1601.0,127.0,True,1,1
1_5,1,1395.0,0.0,1632.0,66.0,True,2,2
1_5,1,1424.0,0.0,1575.0,147.0,True,1,1
1_6,1,1408.0,0.0,1599.0,182.0,True,1,1
1_6,1,1373.0,0.0,1624.0,91.0,True,2,2
1_7,1,1360.0,0.0,1623.0,121.0,True,2,2
1_7,1,1392.0,0.0,1593.0,205.0,True,1,1
1_8,1,1376.0,0.0,1585.0,241.0,True,1,1
1_8,1,1347.0,0.0,1626.0,151.0,True,2,2
1_9,1,1354.0,0.0,1576.0,265.0,True,1,1
1_9,1,1337.0,0.0,1620.0,178.0,True,2,2
1_9,1,1834.0,0.0,1920.0,131.0,True,1,1
1_10,1,1329.0,0.0,1613.0,210.0,True,2,2
1_10,1,1806.0,0.0,1920.0,166.0,True,1,1
1_10,1,1338.0,0.0,1629.0,304.0,True,1,1
1_11,1,1324.0,0.0,1631.0,236.0,True,2,2
1_11,1,1331.0,0.0,1620.0,326.0,True,1,1
1_11,1,1785.0,0.0,1920.0,189.0,True,1,1
1_12,1,1760.0,0.0,1920.0,226.0,True,1,1
1_12,1,1323.0,3.0,1620.0,363.0,True,1,1
1_12,1,1319.0,0.0,1627.0,269.0,True,2,2
1_13,1,1295.0,0.0,1626.0,396.0,True,1,1
1_13,1,1304.0,0.0,1631.0,299.0,True,2,2
1_13,1,1740.0,0.0,1920.0,257.0,True,1,1
1_14,1,1320.0,0.0,1631.0,337.0,True,2,2
1_14,1,1293.0,26.0,1625.0,435.0,True,1,1
1_14,1,1717.0,2.0,1920.0,276.0,True,1,1
1_15,1,1667.0,0.0,1920.0,310.0,True,1,1
1_15,1,1299.0,36.0,1629.0,468.0,True,1,1
1_15,1,1700.0,0.0,1915.0,238.0,True,3,3
1_15,1,1299.0,0.0,1637.0,365.0,True,2,2
1_16,1,1314.0,0.0,1641.0,408.0,True,2,2
1_16,1,1294.0,80.0,1641.0,508.0,True,1,1
1_16,1,1648.0,0.0,1920.0,351.0,True,1,1
1_16,1,1651.0,0.0,1920.0,255.0,True,3,3
1_17,1,1634.0,0.0,1911.0,279.0,True,3,3
1_17,1,1632.0,11.0,1920.0,374.0,True,1,1
1_17,1,1299.0,110.0,1636.0,536.0,True,1,1
1_17,1,1330.0,0.0,1645.0,434.0,True,2,2
1_18,1,1303.0,0.0,1634.0,439.0,True,5,5
1_18,1,1606.0,0.0,1903.0,315.0,True,3,3
1_18,1,1602.0,39.0,1909.0,417.0,True,1,1
1_18,1,1309.0,148.0,1623.0,583.0,True,1,1
1_18,1,1334.0,7.0,1666.0,481.0,True,2,2
1_19,1,1596.0,0.0,1891.0,340.0,True,3,3
1_19,1,1313.0,0.0,1646.0,471.0,True,5,5
1_19,1,1347.0,216.0,1681.0,620.0,True,1,1
1_19,1,1340.0,35.0,1680.0,514.0,True,2,2
1_19,1,1597.0,60.0,1893.0,445.0,True,1,1
1_20,1,1590.0,0.0,1872.0,394.0,True,3,3
1_20,1,1797.0,9.0,1920.0,308.0,True,1,1
1_20,1,1817.0,0.0,1920.0,241.0,True,2,2
1_20,1,1327.0,32.0,1638.0,519.0,True,5,5
1_20,1,1328.0,209.0,1696.0,668.0,True,1,1
1_20,1,1359.0,72.0,1702.0,568.0,True,2,2
1_20,1,1598.0,91.0,1871.0,483.0,True,1,1
1_21,1,1806.0,0.0,1920.0,329.0,True,2,2
1_21,1,1596.0,0.0,1853.0,357.0,True,3,3
1_21,1,1776.0,31.0,1920.0,419.0,True,1,1
1_21,1,1596.0,103.0,1851.0,506.0,True,1,1
1_21,1,1335.0,56.0,1657.0,547.0,True,5,5
1_21,1,1333.0,244.0,1717.0,708.0,True,1,1
1_21,1,1360.0,99.0,1719.0,605.0,True,2,2
1_22,1,1352.0,290.0,1753.0,762.0,True,1,1
1_22,1,1359.0,96.0,1718.0,604.0,True,5,5
1_22,1,1759.0,60.0,1920.0,451.0,True,1,1
1_22,1,1586.0,158.0,1842.0,506.0,True,1,1
1_22,1,1598.0,9.0,1861.0,432.0,True,3,3
1_22,1,1381.0,134.0,1748.0,662.0,True,2,2
1_22,1,1779.0,0.0,1920.0,362.0,True,2,2
1_23,1,1760.0,80.0,1920.0,480.0,True,1,1
1_23,1,1767.0,0.0,1920.0,359.0,True,2,2
1_23,1,1602.0,177.0,1854.0,519.0,True,1,1
1_23,1,1602.0,30.0,1854.0,430.0,True,3,3
1_23,1,1367.0,322.0,1761.0,798.0,True,1,1
1_23,1,1362.0,119.0,1722.0,637.0,True,5,5
1_23,1,1393.0,159.0,1764.0,697.0,True,2,2
1_24,1,1759.0,168.0,1920.0,509.0,True,1,1
1_24,1,1602.0,65.0,1860.0,503.0,True,3,3
1_24,1,1395.0,167.0,1763.0,701.0,True,5,5
1_24,1,1413.0,209.0,1800.0,757.0,True,2,2
1_24,1,1385.0,366.0,1799.0,861.0,True,1,1
1_24,1,1758.0,0.0,1920.0,372.0,True,2,2
1_24,1,1601.0,230.0,1862.0,551.0,True,1,1
1_25,1,1398.0,398.0,1829.0,897.0,True,1,1
1_25,1,1621.0,251.0,1858.0,591.0,True,1,1
1_25,1,1757.0,0.0,1920.0,396.0,True,2,2
1_25,1,1757.0,186.0,1920.0,483.0,True,1,1
1_25,1,1434.0,234.0,1793.0,794.0,True,2,2
1_25,1,1410.0,203.0,1828.0,736.0,True,5,5
1_25,1,1609.0,89.0,1875.0,524.0,True,3,3
1_26,1,1437.0,450.0,1856.0,959.0,True,1,1
1_26,1,1439.0,284.0,1862.0,829.0,True,2,2
1_26,1,1430.0,244.0,1817.0,785.0,True,5,5
1_26,1,1615.0,128.0,1888.0,497.0,True,3,3
1_26,1,1715.0,2.0,1920.0,411.0,True,2,2
1_26,1,1613.0,291.0,1851.0,555.0,True,1,1
1_26,1,1691.0,169.0,1920.0,502.0,True,1,1
1_27,1,1447.0,276.0,1848.0,828.0,True,5,5
1_27,1,1482.0,316.0,1886.0,891.0,True,2,2
1_27,1,1610.0,201.0,1920.0,449.0,True,1,1
1_27,1,1661.0,7.0,1920.0,454.0,True,2,2
1_27,1,1603.0,151.0,1915.0,519.0,True,3,3
1_27,1,1451.0,479.0,1885.0,1003.0,True,1,1
1_27,1,1603.0,336.0,1920.0,578.0,True,1,1
1_28,1,1593.0,355.0,1920.0,618.0,True,1,1
1_28,1,1743.0,0.0,1920.0,135.0,True,1,1
1_28,1,1484.0,534.0,1920.0,1067.0,True,1,1
1_28,1,1517.0,363.0,1920.0,924.0,True,2,2
1_28,1,1485.0,316.0,1920.0,922.0,True,5,5
1_28,1,1589.0,190.0,1920.0,604.0,True,3,3
1_28,1,1596.0,39.0,1920.0,430.0,True,2,2
1_29,1,1507.0,345.0,1920.0,929.0,True,5,5
1_29,1,1603.0,211.0,1920.0,604.0,True,3,3
1_29,1,1606.0,382.0,1920.0,654.0,True,1,1
1_29,1,1574.0,66.0,1920.0,449.0,True,2,2
1_29,1,1554.0,263.0,1920.0,466.0,True,1,1
1_29,1,1704.0,0.0,1920.0,148.0,True,1,1
1_29,1,1709.0,0.0,1920.0,110.0,True,2,2
1_29,1,1506.0,572.0,1919.0,1080.0,True,1,1
1_29,1,1537.0,397.0,1920.0,989.0,True,2,2
1_30,1,1567.0,444.0,1920.0,1045.0,True,2,2
1_30,1,1628.0,0.0,1885.0,206.0,True,1,1
1_30,1,1540.0,393.0,1920.0,988.0,True,5,5
1_30,1,1540.0,621.0,1920.0,1080.0,True,1,1
1_30,1,1626.0,256.0,1920.0,572.0,True,3,3
1_30,1,1625.0,430.0,1920.0,569.0,True,1,1
1_30,1,1541.0,102.0,1901.0,571.0,True,2,2
1_30,1,1518.0,308.0,1896.0,568.0,True,1,1
